Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
2022-09-18,ThoroughCare,Data Analyst,"Pittsburgh, PA","NOTES:

THIS IS A U.S.-BASED POSITION. PLEASE DO NOT APPLY IF NOT CURRENTLY RESIDING WITHIN THE U.S.
Remote work opportunities are available with this position, however, candidates residing in the Pittsburgh, PA area will be given preferred status.

ThoroughCare, Inc. is a healthcare platform services vendor, founded in 2013 and headquartered in Pittsburgh, PA. Our targeted solutions assist healthcare providers with their participation in value-based care management and wellness programs - whether it's fee-for-service, shared-risk or capitation-based - with focus on the combination of improved patient quality of life, reduced spending, and increased revenue. Our clinician-friendly care coordination software solutions support personalized health experiences, enable integrated, coordinated care, and help identify the next best actions at critical moments, and is currently used to support over 250,000 patients across nearly 600 primary care and specialty practices across the United States.

We are driven by our passion to improve the quality of life for every person we can. Our mission is to simplify integrated whole patient care by extending the care setting beyond the facility and into the patient home and empowering care teams through features designed with clinicians in mind. We're proud of earning our spot on the 2021 Inc. 5000 list of fastest growing companies (#854!), and we are looking for motivated and experienced individuals to join us on our journey.

For more information about ThoroughCare:

Data Analyst

July 18, 2022

Pittsburgh, PA

Full Time

Customer Success

Director, Support

We’re seeking a Data Analyst to work in a fast-paced customer-focused environment within the healthcare IT industry. You’ll be working alongside some of the best in healthcare technology. By working for a rapidly growing startup, your hard work and creativity will make bring an immediate and significant impact for our organization and the healthcare providers who utilize our platform.

Our ideal candidate is a highly motivated self-starter: one who can hit the ground running and quickly get up to speed with our solutions, our technology/code base, and the Medicare Care Management domain; one who respects the value of superior customer service; one who is diligent, able to troubleshoot complex issues, and innovates through strong situational analysis, problem resolution skills and the assertiveness to think outside the box. The ideal person also has an exceptional eye for detail, expertise as a data analyst, and a solid understanding of popular data analysis tools. He/she will work closely with product owners across various lines of business to understand the objectives of the organization and prioritize any requirements.

This position is full time and available immediately. This is an excellent opportunity to build the necessary experience, through a growing healthcare software firm, to prepare you for a career in technical services and account management – we’d love for you to be a part of our team!

General Responsibilities



Are you interested in this job? Send a resume, cover letter and salary requirements to . Candidates may be asked to take a skills test to further determine qualifications for the role. All candidates are subject to a background check and must be authorized to work in the United States. Please note that ThoroughCare is an Equal Opportunity Employer. We celebrate diversity and are fully committed to maintaining an inclusive environment for all employees that is free of discrimination and harassment.

Powered by JazzHR

hsrzMcEW08",Entry level,Full-time,Information Technology,Software Development,https://www.linkedin.com/jobs/view/data-analyst-at-thoroughcare-3313428276?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=TqCmdtfKVmFvrdO2%2FpYvsQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Apex Systems,Entry Level Data Analyst,"Cheswick, PA","The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. 
 Responsibilities",Entry level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-apex-systems-3341827661?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=Efg%2FNAO3kpS7Kgn5UIqmBA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,"Pancoast Staffing Services, Inc.",Data Analyst/Reporting (Hybrid),"Canonsburg, PA","Pittsburgh area corporation in need of a human resources professional in the role of Analyst/Reporter. This is an entry level (2+ years of experience) role with a focus on developing data reports and dashboard visualizations for the various HR functions. The selected candidate will make use of the HR Reporting and Analytics database, various HR systems, and existing visualization tools in support of ad-hoc reporting processes and ongoing reporting activities.",Entry level,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-analyst-reporting-hybrid-at-pancoast-staffing-services-inc-3327771838?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=cObUXjsIgSJpZsfHef%2Bgew%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,JazzHR,Data Analyst,"Pittsburgh, PA","Jazz HR is looking for a Data Analyst to join our growing Customer Experience team. You are responsible for analyzing a wide range of customer and operational data to help improve JazzHR’s customer support and account management efforts, as well as overseeing third party vendor that deliver outsourced data services.

Successful candidates will be proficient in data analysis, project management, and vendor management and be able to drive multiple projects to meet our constantly evolving customer requirements.






JazzHR has raised the bar in the recruiting software industry, with many of our innovations becoming industry-standard. We’re the first company to put powerful, yet easy-to-use recruiting software in the hands of startups, growing companies, and small businesses from all industries. We're proud of our accomplishments -


Employ empowers organizations of all sizes to overcome their greatest recruiting and talent acquisition challenges. Offering a combination of purpose-built intelligent software technologies, services, and industry expertise, Employ provides businesses of all sizes with powerful solutions for recruiting a diverse workforce. Through its JazzHR, Lever, and Jobvite technologies, and NXTThing RPO services, Employ serves more than 12,000 customers across all industries. For more information, visit www.employinc.com.

JazzHR and Employ are equal opportunity employers. All employment decisions are solely based on business needs, job requirements and individual qualifications without regard to race, gender, religion, ethnicity, age or any other status protected by the laws and regulations where we operate.


JazzHR has raised the bar in the recruiting software industry, with many of our innovations becoming industry-standard. We’re the first company to put powerful, yet easy-to-use recruiting software in the hands of startups, growing companies, and small businesses from all industries. We're proud of our accomplishments -


Employ empowers organizations of all sizes to overcome their greatest recruiting and talent acquisition challenges. Offering a combination of purpose-built intelligent software technologies, services, and industry expertise, Employ provides businesses of all sizes with powerful solutions for recruiting a diverse workforce. Through its JazzHR, Lever, and Jobvite technologies, and NXTThing RPO services, Employ serves more than 12,000 customers across all industries. For more information, visit www.employinc.com.

JazzHR and Employ are equal opportunity employers. All employment decisions are solely based on business needs, job requirements and individual qualifications without regard to race, gender, religion, ethnicity, age or any other status protected by the laws and regulations where we operate.

Powered by JazzHR

zMn6X6Enf5",Mid-Senior level,Full-time,Information Technology,Software Development,https://www.linkedin.com/jobs/view/data-analyst-at-jazzhr-3322787160?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=Wc7q1ig8xM79oj5T596TUw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,"Software Guidance & Assistance, Inc. (SGA, Inc.)",Jr. Data Operations Financial Analyst,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/jr-data-operations-financial-analyst-at-software-guidance-assistance-inc-sga-inc-3276235072?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=ZkB6SlnhPXPyBQMumFulNw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Indotronix Avani Group,Data Analyst remote position,"Pittsburgh, PA","Position Title: Data Analyst

Position Location: fully remote

Target Start Date (incorpo*** entire lifecycle): 11/28/22

Intended length of Assignment: 12/31/22 and will be extended after new project is announced



SQL - high level

Hadoop

Teradata

Oracle

Highly proficient in investigative data skills

Ability to understand complex requirements

HS Diploma (tech cert or bootcamp is a plus)

Bachelor's preferred (software engineering, computer science, and/or related field)

5+ years of related work exp



Describe interview process (who will be involved, how many interviews, etc.):

2 rounds of interviews (1st round will be a phone screen w/manager; 2nd round will be technical w/partners: manager and 2-3 engineers)",Entry level,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-analyst-remote-position-at-indotronix-avani-group-3317383705?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=nVLFbjLHeELz2YOBtsTjaw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Xometry,Data Analyst,"Pittsburgh, PA","Xometry (NASDAQ: XMTR) powers the industries of today and tomorrow by connecting the people with big ideas to the manufacturers who can bring them to life. Xometry’s digital marketplace gives manufacturers the critical resources they need to grow their business while also making it easy for buyers at Fortune 1000 companies to tap into global manufacturing capacity.

We are looking for a Data Analyst to join our team. You will play a crucial role in a rapidly growing part of the Xometry business, and everything you do will matter.

The right person will analyze behavioral data, understand performance by developing analytical tools and performing ad-hoc analysis. They will assist with tying user activity to origin, modeling, data investigations, and visualizations. They will partner with different teams to help drive measurable results. They will be a valued partner and trusted advisor.

You will play a crucial role in a rapidly growing part of the Xometry business, and everything you do will matter.

What you will do


Who are you?


If this job isn’t for you but you have a friend who may be a perfect fit - share this job with them!

Xometry is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Xometry participates in E-Verify and after a job offer is accepted, will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.",Entry level,Full-time,Information Technology,Software Development,https://www.linkedin.com/jobs/view/data-analyst-at-xometry-3335332327?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=fFyX1k7wcGF5qMJglIF2Qw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,University of Pittsburgh,Research Data Analyst,"Pittsburgh, PA","UPCI Oncology Informatics - Pennsylvania-Pittsburgh - ( 22007408 )

The Research Data Analyst will work with multidisciplinary teams including but not limited to researchers, physicians, administrators, and organizational leaders, to conduct requirement analysis and design to support clinical and research data extraction and reporting efforts.

The candidate will be instrumental in developing analytical solutions, summarizing population characteristics, and outcomes to support data-driven decision making which results in improved patient care, clinical outcomes, operational throughput, and cancer research directives.

The Research Data Analyst will develop analysis and reporting capabilities. Technical expertise regarding data models, database design, data mining, and segmentation techniques. The candidate will work with reporting specifications provided by requesting audience and subsequently discussed within interdepartmental team meetings. Various clinical and administrative systems will be used as the data sources, including but not limited to Epic, Cerner and Medipac.

Final aggregation and presentation will be completed through various software packages, including SQL Developer, Qlik and Cognos. The Research Data Analyst must ensure reporting logic is accurate and sound by comparing analytical output to data within the source systems, as well as through cross validation to base reports.

The ideal candidate should be highly skilled in all aspects of data analytics, including mining, generation, and visualization.

The Research Data Analyst must be able to work both independently as well as in a team setting.

Strong knowledge of and experience with reporting packages (Cognos, Power BI), databases (Oracle), programming languages preferred (SQL, Python, Pandas), data formats (JSON, CSV, XML). Knowledge of statistics and experience using statistical packages for analyzing datasets, helpful (Excel, SPSS, SAS, R) Equivalent combination of education and experience may be substituted for the education/experience requirement.

The University of Pittsburgh is committed to championing all aspects of diversity, equity, inclusion, and accessibility within our community. This commitment is a fundamental value of the University and is crucial in helping us advance our mission, which includes attracting and retaining diverse workforces. We will continue to create and maintain an environment that allows individuals to discover, belong, contribute, and grow, while honoring the experiences, perspectives, and unique identities of all.

The University of Pittsburgh is an Affirmative Action/Equal Opportunity Employer and values equality of opportunity, human dignity and diversity. EOE, including disability/vets. The University of Pittsburgh requires all Pitt constituents (employees and students) on all campuses to be vaccinated against COVID-19 or have an approved exemption. Visit coronavirus.pitt.edu to learn more about this requirement.

Department Details : The Hillman Cancer Center is committed to advancing diversity, equity, and inclusion in all its forms. Our commitment to diversity and inclusion is not only one of our fundamental values, it is critical in helping us provide the highest level of care to people we treat at our centers, as well as support life changing research. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to race, ethnicity, religion, sex, gender, sexual orientation, age, disability or veteran status.

Assignment Category : Full-time regular

Job Classification : Staff.Research.III Non-Exempt

Campus : Pittsburgh

Minimum Education Level Required : Baccalaureate

Minimum Experience Level Required : 2-3 years experience

Work Schedule : Monday - Friday

Work Arrangement : Hybrid: Combination of On-Campus and Remote work as determined by the department.

Hiring Range : TBD based on qualifications

Relocation Offered : No

Visa Sponsorship Provided : No

Background Check : For position finalists, employment with the University will require successful completion of a background check

Child Protection Clearances : Not Applicable

Required Documents : Resume

Optional Documents : Cover Letter",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,https://www.linkedin.com/jobs/view/research-data-analyst-at-university-of-pittsburgh-3346158146?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=xgQodHXokBmf7eucKDRUYA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Insight Global,Data Analyst,"Monaca, PA","Must Haves*
Hands on experience with PowerBI or Tableau
Collaborate with Stakeholders
Gather Requirements
Strong understanding of networking/infrastructure",Not Applicable,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3327339931?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=8%2B1eoZaeWB%2Fe76XuxuBJFA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Indotronix Avani Group,Data Analyst Fulltime Remote Position,"Pittsburgh, PA","Position:Data Analyst

Location: Remote

Duration: Long-term.



Master data Management Application, team is about 70 to 80 people across multiple crews. Follow Agile Methodology. Been in production for about 8 years and continuously doing enhancements.



Ability to understand business / data requirements and convert them into Agile ""Stories""

Analyze data and produce artifacts needed by the development team

Review test scenarios / cases prepared by the testing team in order to ensure it adequately covers all aspects of the business requirement

Should be able to groom others on the team in this space

TOAD, Excel

MS Office



6-8 years

Bachelor's degree or equivalent experience



What will sepa*** an average candidate vs a great candidate on a resume?

Experience in similar domain

Must have worked on large enterprise level initiatives like Data Warehouse, Master Data, etc

Must be well versed with Agile principles and tools (JIRA experience will be an added benefit)

Must be capable of working in a very fast paced environment with constant changes and aggressive timelines

Who is this workers main interaction going to be with?

Product owner, scrum master, testers, other analysts.

onshore and offshore

How will performance be measured?

based on deliverables, on time and accuracy

Compelling Story Why would a candidate be interested in this role over another?

Enterprise wide initiatives are rare, size and impact is wide and touches the whole organization.



Video",Entry level,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-analyst-fulltime-remote-position-at-indotronix-avani-group-3183780900?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=xrrepEQnkmLkvNeHHII5nA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
